timestamp,symbol,expiry,strike,ceOIChange,peOIChange,ceLTPChange,peLTPChange
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21100,-1,175,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21150,0,3,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21200,0,-144,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21250,0,-2,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21300,0,-1,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21350,0,-3,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21400,0,-2,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21500,1,-86,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21550,0,2,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21600,0,91,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21650,0,-5,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21700,0,-8,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21750,0,-8,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21800,0,79,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21850,0,7,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21900,0,14,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,21950,0,67,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22000,1,405,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22050,0,-22,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22100,0,-18,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22150,0,31,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22200,0,861,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22250,3,-1,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22300,0,-145,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22350,0,28,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22400,0,-10,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22450,0,1,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22500,1,-18,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22550,0,58,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22600,2,6,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22650,0,-6,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22700,1,-99,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22750,0,-22,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22800,0,-3,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22850,0,44,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22900,0,92,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,22950,0,-60,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23000,33,-9,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23050,-1,-136,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23100,0,-177,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23150,0,-129,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23200,-2,-67,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23250,1,66,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23300,5,34,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23350,0,94,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23400,0,-102,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23450,-1,-4,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23500,2,-157,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23550,-5,-80,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23600,-57,312,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23650,0,71,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23700,-52,252,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23750,-3,79,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23800,-122,-293,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23850,-20,-152,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23900,-236,-95,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,23950,-388,-504,0,0
2026-05-26T16:08:30.083Z,NIFTY,02-Jun-2026,24000,-2192,-830,0,0
